Make,Model,Variant,Sub_variant,start_month,start_year,end_month,end_year
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L SPORTZ AMT (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L SPORTZ AMT (DIESEL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,GRAND i10 NIOS,HYUNDAI GRAND i10 NIOS (08.2019-NOW),1.2L SPORTZ CNG (PETROL) (08.2019-NOW),8,2019,NOW,NOW
HYUNDAI,i10,HYUNDAI i10 1ST GEN (2007-2010),5DR 1.1L (PETROL) (27.09.2007-07.10.2010),9,2007,10,2010
HYUNDAI,i10,HYUNDAI i10 1ST GEN (2007-2010),5DR 1.2L PETROL) (01.05.2008-08.09.2010),5,2008,9,2010
HYUNDAI,i10,HYUNDAI i10 1ST GEN F/L (2010-2013),5DR 1.1L (PETROL) (17.08.2010-01.08.2013),8,2010,8,2013
HYUNDAI,i10,HYUNDAI i10 1ST GEN F/L (2010-2013),5DR 1.2 (PETROL) (17.08.2010-01.08.2013),8,2010,8,2013
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.2L (PETROL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.2L ASTA (O) SUNROOF (PETROL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.2L ASTA (PETROL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.2L MAGNA (PETROL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.2L SPORTZ (PETROL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.4L (DIESEL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.4L (DIESEL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.4L (PETROL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.4L ASTA (AT) (PETROL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.4L ASTA (O) SUNROOF (DIESEL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN (2008-2012),5DR 1.4L MAGNA (DIESEL) (09.2008 - 03.2012),9,2008,3,2012
HYUNDAI,i20,HYUNDAI i20 1ST GEN F/L (2012-2014),5DR 1.2L (PETROL) (15.03.2012-14.07.2014),3,2012,7,2014
HYUNDAI,i20,HYUNDAI i20 1ST GEN F/L (2012-2014),5DR 1.4L (DIESEL) (15.03.2012-14.07.2014),3,2012,7,2014
HYUNDAI,i20,HYUNDAI i20 1ST GEN F/L (2012-2014),5DR 1.4L (PETROL) (15.03.2012-14.07.2014),3,2012,7,2014
HYUNDAI,i20,HYUNDAI i20 3RD GEN (09.2020-NOW),5DR 1.0L DCT N-LINE (PETROL) (11.2020 -NOW),11,2020,NOW,NOW
HYUNDAI,i20,HYUNDAI i20 3RD GEN (09.2020-NOW),5DR 1.0L N-LINE (PETROL) (11.2020 -NOW),11,2022,NOW,NOW
HYUNDAI,i20,HYUNDAI i20 3RD GEN (09.2020-NOW),5DR 1.2L (PETROL) (11.2020 -NOW),11,2020,NOW,NOW
HYUNDAI,i20,HYUNDAI i20 3RD GEN (09.2020-NOW),5DR 1.2L CVT (PETROL) (11.2020 -NOW),11,2020,NOW,NOW
HYUNDAI,i20,HYUNDAI i20 3RD GEN (09.2020-NOW),5DR 1.5L (DIESEL) (11.2020 -NOW),11,2020,NOW,NOW
HYUNDAI,i20 ACTIVE,HYUNDAI i20 ACTIVE 2ND GEN (2015-2018),5DR 1.2 (PETROL) (01.03.2015-01.03.2018),3,2015,3,2018
HYUNDAI,i20 ACTIVE,HYUNDAI i20 ACTIVE 2ND GEN (2015-2018),5DR 1.4L (DIESEL) (01.03.2015-01.03.2018),3,2015,3,2018
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN (2014-2018),5DR 1.2L (PETROL)(08.2014-02.2018),8,2014,2,2018
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN (2014-2018),5DR 1.2L Asta (O) (PETROL) (08.2014-02.2018),8,2014,2,2018
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN (2014-2018),5DR 1.2L Asta (PETROL) (08.2014-02.2018),8,2014,2,2018
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN (2014-2018),5DR 1.2L ERA (PETROL) (08.2014-02.2018),8,2014,2,2018
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN (2014-2018),5DR 1.2L Magna (PETROL) (08.2014-02.2018),8,2014,2,2018
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN (2014-2018),5DR 1.2L Sportz (PETROL) (08.2014-02.2018),8,2014,2,2018
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN (2014-2018),5DR 1.4L (DIESEL) (08.2014-02.2018),8,2014,2,2018
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN (2014-2018),5DR 1.4L ASTA (DIESEL) (08.2014-02.2018),8,2014,2,2018
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN (2014-2018),5DR 1.4L ASTA (O) (DIESEL) (08.2014-02.2018),8,2014,2,2018
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN (2014-2018),5DR 1.4L ERA (DIESEL) (08.2014-02.2018) i20,8,2014,2,2018
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN (2014-2018),5DR 1.4L MAGNA (DIESEL) (08.2014-02.2018),8,2014,2,2018
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN (2014-2018),5DR 1.4L MAGNA AT (PETROL) (08.2014-02.2018),8,2014,2,2018
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN (2014-2018),5DR 1.4L SPORTZ (DIESEL) (08.2014-02.2018),8,2014,2,2018
HYUNDAI,i20 ELITE,HYUNDAI i20 ELITE 2ND GEN F/L (2018-2020),5DR 1.2L ASTA (AT) (PETROL) (01.08.2018-01-07-2020),8,2018,7,2020
