10103AR161,in488920221028131632,Hyundai,Creta,s,diesel,1582CC
10101AA162,in966620221029043439,Hyundai,Creta,sx,petrol,1591CC
10702AD122,in549820221029053339,Hyundai,Grand i10,sportz,petrol,1197CC
10704AD122,in647720221029093035,Hyundai,i10,sportz,petrol,1197CC
10101AT162,in131120221029094620,Hyundai,Creta,e plus,petrol,1591CC
10702AD122,in990920221029101855,Hyundai,Grand i10,sportz,internal_lpg_cng,1120CC
11402AT122,in493220221029105741,Hyundai,Xcent,e plus,petrol,1197CC
10702AH102,in229920221029111431,Hyundai,Grand i10,base,petrol,998CC
11401AN122,in606220221029114054,Hyundai,Xcent,sx (o),petrol,1197CC
11303AH112,in441920221103073141,Hyundai,Santro Xing,base,petrol,1086CC
11501AH151,in574920221029140021,Hyundai,Alcazar,base,diesel,1493CC
10704AE112,in213420221030040223,Hyundai,i10,era,internal_lpg_cng,1086CC
10903AE122,in350020221030041115,Hyundai,i20,era,petrol,1197CC
11303AD112,in921020220530043558,Hyundai,Santro Xing,sportz,petrol,1086CC
105NoneAK151,in850720221030050818,Hyundai,Venue,s plus,diesel,1493CC
11402AA122,in844120221030053107,Hyundai,Xcent,sx,internal_lpg_cng,1197CC
109NoneAA141,in126120221030062335,Hyundai,i20,sx,diesel,1396CC
109NoneAC122,in908520221030071547,Hyundai,i20,asta (o),petrol,1197CC
11002AC141,in500220221030084408,Hyundai,Elite i20,asta (o),diesel,1396CC
104NoneAA161,in797120221030092016,Hyundai,Elantra,sx,diesel,1582CC
10702AH122,in439720221030092125,Hyundai,Grand i10,base,petrol,1197CC
10103AI161,in852420221031023559,Hyundai,Creta,ex,diesel,1582CC
11402AR122,in989420221031030449,Hyundai,Xcent,s,petrol,1197CC
11303AH112,in545520221025100752,Hyundai,Santro,gls plus,petrol,1086CC
10801AD122,in959420221031042937,Hyundai,Grand i10 Nios,sportz,petrol,1197CC
11001AD141,in597220221031050202,Hyundai,Elite i20,sportz,diesel,1396CC
10701AC122,in794020221031051840,Hyundai,Grand i10,asta (o),petrol,1197CC
1NoneNoneAF122,in455920221031052020,Hyundai,I10 1.2 Kappa,magna,petrol,1197CC
109NoneAG122,in690020221031054408,Hyundai,i20,asta,petrol,1197CC
11402AN122,in541420221031055614,Hyundai,Xcent,sx option,petrol,1197CC
10205AA162,in295720221031060917,Hyundai,Verna,sx,petrol,1599CC
11303AF112,in281520220617074321,Hyundai,Santro,magna,petrol,1086CC
10301AD092,in386820221031061702,Hyundai,Eon,sportz,petrol,814CC
10102AA162,in835020221031063016,Hyundai,Creta,sx,petrol,1591CC
108NoneAD122,in593220221031063251,Hyundai,Grand i10 Nios,sportz,internal_lpg_cng,1197CC
109NoneAC141,in129820221031083254,Hyundai,i20,asta option,diesel,1396CC
11001AO141,in819020221031090726,Hyundai,Elite i20,sportz (o),diesel,1396CC
10701AF112,in309120221031110103,Hyundai,i10,magna,petrol,1086CC
10301AH092,in390220221031123418,Hyundai,Eon,base,internal_lpg_cng,814CC
10103AA151,in583120221031132903,Hyundai,Creta,sx,diesel,1493CC
10501AA102,in812320221031133924,Hyundai,Venue,sx,petrol,998CC
10204AJ142,in192020221101051754,Hyundai,Verna,e,petrol,1396CC
109NoneAD122,in973320221101081423,Hyundai,I20 (2020),sportz,petrol,1197CC
10101AT162,in559420221101083845,Hyundai,Creta,e plus,petrol,1591CC
109NoneAD122,in868820221101091929,Hyundai,i20,sportz,petrol,1197CC
10402AA202,in578020221101095548,Hyundai,Elantra,sx,petrol,1999CC
10902AE122,in853020221101102835,Hyundai,i20,era,petrol,1197CC
10203AX162,in103220221101111059,Hyundai,Verna,gls,petrol,1599CC
10601AA122,in925120221102032244,Hyundai,Aura,sx,petrol,1197CC
10704AD122,in267720221102032959,Hyundai,i10,sportz,petrol,1197CC
10103AH142,in194020221102041546,Hyundai,Creta,s plus turbo,petrol,1353CC
11001AF141,in614520221102053403,Hyundai,Elite i20,magna,diesel,1396CC
10702AF121,in730020221102071435,Hyundai,Grand i10,magna,diesel,1197CC
10102AN161,in770020221102083219,Hyundai,Creta,sx (o),diesel,1582CC
10801AG122,in982720221102092208,Hyundai,Grand i10 Nios,asta,petrol,1197CC
10702AG121,in523520221102092730,Hyundai,Grand i10,asta,diesel,1186CC
11401AB122,in366220221102094744,Hyundai,Xcent,s (o),petrol,1197CC
10101AR161,in679420221102113311,Hyundai,Creta,s,diesel,1582CC
11303AE112,in402320221012043147,Hyundai,Santro,era,petrol,1086CC
10702AE121,in916020221103031839,Hyundai,Grand i10,era,diesel,1120CC
10704AE112,in766820221103043633,Hyundai,i10,era,petrol,1100CC
10701AC122,in135120221103050508,Hyundai,Grand i10,asta option,petrol,1197CC
10103AK161,in316020221103072757,Hyundai,Creta,s plus,diesel,1582CC
11303AX112,in963820221021054441,Hyundai,Santro,gls,petrol,1086CC
10201AA162,in711620221103082442,Hyundai,Verna,sx,petrol,1599CC
10103AH142,in854520221103083233,Hyundai,Creta,sx turbo,petrol,1353CC
10101AK141,in884320221103085019,Hyundai,Creta,s plus,diesel,1396CC
109NoneAC151,in559420221103145753,Hyundai,I20 (2020),asta(o),diesel,1493CC
10901AP141,in694120221104091816,Hyundai,i20,magna (o),diesel,1396CC
108NoneAD122,in496720221104095732,Hyundai,Grand i10 Nios,sportz,internal_lpg_cng,1197CC
10801AF122,in587220221104104247,Hyundai,Grand i10 Nios,magna,petrol,1197CC
11402AJ122,in767820221104120332,Hyundai,Xcent,e,petrol,1197CC
10501AN151,in870020221105025749,Hyundai,Venue,sx(o),diesel,1493CC
1NoneNoneAE112,in132220221105051606,Hyundai,I10 1.1,era,petrol,1086CC
10702AD121,in439120221105054841,Hyundai,Grand i10,sports,diesel,1120CC
109NoneAF142,in414220221105073713,Hyundai,i20,magna,petrol,1396CC
10202AI142,in414620221105090235,Hyundai,Verna,ex,petrol,1396CC
10202AH142,in354520221105090332,Hyundai,Verna,base,petrol,1396CC
10103AJ151,in490720221106061511,Hyundai,Creta,e,diesel,1493CC
10702AF121,in810520221106064536,Hyundai,Grand i10,magna,diesel,1120CC
11002AF122,in169120221106084540,Hyundai,Elite i20,magna,petrol,1197CC
101NoneAR152,in872920221107032428,Hyundai,Creta,s,petrol,1497CC
109NoneAP122,in882720221107034037,Hyundai,i20,magna option,petrol,1197CC
10701AC121,in169020221107043753,Hyundai,Grand i10,asta option,diesel,1120CC
106NoneAR122,in682620221107043930,Hyundai,Aura,s,internal_lpg_cng,1197CC
10202AN161,in349320221107072744,Hyundai,Fluidic Verna,sx option,diesel,1582CC
10501AA141,in894720221107091227,Hyundai,Venue,sx,diesel,1396CC
101NoneAA152,in330820221107121947,Hyundai,Creta,sx,petrol,1497CC
109NoneAO122,in431120221107123812,Hyundai,i20,sportz option,petrol,1197CC
11401AR122,in295820221108034131,Hyundai,Xcent,s,internal_lpg_cng,1197CC
10103AA152,in678820221108045051,Hyundai,Creta,sx,petrol,1497CC
11303AX112,in924920221028014302,Hyundai,Santro,gls,petrol,1086CC
10801AF122,in433820221108071048,Hyundai,Grand i10 Nios,magna,petrol,1197CC
11401AA121,in619620221108082345,Hyundai,Xcent,sx,diesel,1120CC
11402AA121,in109220221108082935,Hyundai,Xcent,sx,diesel,1186CC
109NoneAC142,in263620221108084022,Hyundai,i20,asta option,petrol,1396CC
11303AH112,in930620220825101510,Hyundai,Santro,base,petrol,1086CC
108NoneAG121,in384420221108092547,Hyundai,Grand i10 Nios,asta,diesel,1186CC
109NoneAG141,in178320221210064821,Hyundai,i20,asta,diesel,1396CC
10202AI161,in734320221210102328,Hyundai,Verna,ex,diesel,1582CC
10901AD142,in787320221210115340,Hyundai,i20,sportz,petrol,1396CC
10501AH102,in979620221211040904,Hyundai,Venue,sx turbo,petrol,998CC
109NoneAG122,in814120221211041400,Hyundai,I20 (2020),asta,petrol,1197CC
10202AR162,in316420221211062555,Hyundai,Fluidic Verna,s,petrol,1591CC
109NoneAO122,in228220221211073255,Hyundai,i20,sportz (o),petrol,1197CC
11402AH122,in226520221211081907,Hyundai,Xcent,base,petrol,1197CC
10704AD112,in577520221211084727,Hyundai,i10,sportz,internal_lpg_cng,1086CC
10704AF122,in177620221211100504,Hyundai,i10,magna,internal_lpg_cng,1197CC
10201AN162,in381820221211104901,Hyundai,Verna,sx(o),petrol,1591CC
11201AU151,in924020221212050900,Hyundai,Accent,gle,diesel,1493CC
11101AA122,in569720221212051658,Hyundai,Active i20,sx,petrol,1197CC
115NoneAH151,in421520221212063523,Hyundai,Alcazar,base,diesel,1493CC
105NoneAB102,in453220221212073243,Hyundai,Venue,s(o),petrol,998CC
105NoneAR122,in905820221212084603,Hyundai,Venue,s,petrol,1197CC
11101AR141,in169320221212101348,Hyundai,Active i20,s,diesel,1396CC
109NoneAH122,in910320221212101545,Hyundai,i20,base,petrol,1197CC
10103AN152,in932520221212104208,Hyundai,Creta,sx(o),petrol,1497CC
110NoneAS122,in922720221212104426,Hyundai,Elite i20,magna plus,petrol,1197CC
106NoneAA122,in565420221212113601,Hyundai,Aura,sx,internal_lpg_cng,1197CC
10702AG122,in940020221213040016,Hyundai,i10,asta,petrol,1197CC
10103AH142,in678020221213052012,Hyundai,Creta,sx (o) turbo,petrol,1353CC
10903AD151,in736120221213052140,Hyundai,I20 (2020),sportz,diesel,1493CC
10801AF121,in997820221213054626,Hyundai,Grand i10 Nios,magna,diesel,1186CC
105NoneAA122,in748820221213055849,Hyundai,Venue,sx,petrol,1197CC
10205AH102,in195920221213060249,Hyundai,Verna,turbo sx(o),petrol,998CC
11303AH112,in671020221021110311,Hyundai,Santro,base,petrol,1086CC
10903AD122,in345020221213071135,Hyundai,I20 (2020),sportz,petrol,1197CC
11001AF141,in353720221213081059,Hyundai,Elite i20,magna,diesel,1396CC
116NoneAV112,in694020221213084854,Hyundai,Getz,gvs,petrol,1086CC
11101AA141,in276420221213104256,Hyundai,Active i20,sx,diesel,1396CC
10402AA161,in498220221213132834,Hyundai,Elantra,sx,diesel,1582CC
10101AN162,in657420221214051355,Hyundai,Creta,sx (o),petrol,1591CC
105NoneAB102,in135120221214053733,Hyundai,Venue,s(o),petrol,998CC
10101AA161,in584320221214083555,Hyundai,Creta,sx,diesel,1582CC
116NoneAV142,in343820221214090247,Hyundai,Getz,gvs,petrol,1341CC
10101AM162,in440520221214094903,Hyundai,Creta,sx plus,petrol,1591CC
10102AA162,in250720221214110948,Hyundai,Creta,sx,petrol,1591CC
11401AN121,in892120221214121104,Hyundai,Xcent,sx option,diesel,1120CC
11803BA201,in391220221214122724,Hyundai,Tucson,gl,diesel,1995CC
10703AP112,in841020221215034236,Hyundai,i10,magna option,petrol,1086CC
10204AM161,in206820221215050902,Hyundai,Verna,sx plus,diesel,1582CC
10801AG122,in799220221215052145,Hyundai,Grand i10 Nios,asta,petrol,1197CC
10301AE092,in828220221215104126,Hyundai,Eon,era,petrol,814CC
10301AF092,in907020221215115547,Hyundai,Eon,magna,petrol,814CC
